(-24.7445292, -47.5525529)
(-20.4281001, -51.3410871)
(-23.816628, -45.368685)
(-23.09028, -47.21806)
(-22.1748508, -51.2534615)
(-19.9802644, -50.2906035)
(-21.7705076, -50.9614046)
(-23.0544285, -49.6264306)
(-23.3508977, -47.687611)
(-22.4356582, -47.7146714)
(-20.657282, -49.3881146)
(-24.5843214, -48.594028)
(-20.4441839, -48.012504)
(-22.5869091, -47.5160966)
(-21.2791964, -49.4101967)
(-21.5691828, -51.3494606)
(-23.8621345, -49.1398926)
(-23.4172598, -49.0935788)
(-21.312294, -49.0596336)
(-21.9816841, -48.8046536)
(-24.1848847, -46.7921572)
(-24.6409691, -48.8410159)
(-23.7176303, -46.8492435)
(-23.588607, -48.048326)
(-23.9849105, -48.8803886)
(-23.54888, -46.933889)
(-22.436111, -46.821667)
(-24.5735083, -49.1703846)
(-21.5958368, -48.8122696)
(-23.7066252, -49.4895934)
(-22.2346755, -48.7189744)
(-20.6435211, -51.5084479)
(-23.4754492, -46.3514033)
(-24.1145368, -49.3352464)
(-24.2900711, -47.176151)
(-22.9965861, -46.8412042)
(-23.1042417, -48.6134874)
(-22.2536514, -47.8212546)
(-20.6406814, -47.2193817)
(-21.730853, -46.9743)
(-23.2638828, -47.298892)
(-23.1531055, -47.0580347)
(-20.3366604, -47.7797924)
(-20.6921079, -48.4144076)
(-21.252037, -48.325223)
(-23.30528, -45.96583)
(-20.8844434, -49.5710544)
(-24.703773, -48.0060639)
(-22.70374, -46.985062)
(-20.2671767, -50.5492435)
(-23.2556416, -45.6919926)
(-23.5282627, -46.9020647)
(-21.0255126, -47.7706807)
(-23.0949584, -46.7148636)
(-22.293585, -48.559193)
(-20.3104773, -47.5915669)
(-22.930004, -46.275208)
(-22.2486157, -50.7677114)
(-23.564090999999998, -46.434766582997995)
(-22.0099839, -49.7889446)
(-23.0843839, -47.7882279)
(-23.1887668, -46.884506)
(-21.5109531, -51.4351505)
(-24.3172209, -47.6355618)
(-23.932346, -47.0714217)
(-23.0898337, -45.1903825)
(-23.0505602, -47.8375684)
(-21.1665477, -51.0410539)
(-22.570047, -44.902359)
(-22.1859721, -47.389764)
(-22.6029897, -48.8031367)
(-22.5615068, -47.401766)
(-22.523056, -46.65)
(-21.6741873, -49.7518932)
(-22.7367652, -45.1070876)
(-20.9672545, -50.224966)
(-23.08639, -46.95056)
(-21.7211293, -51.0188)
(-22.4310459, -49.5219241)
(-21.552463, -47.7033894)
(-21.6763356, -50.3269863)
(-22.4145801, -49.8183516)
(-22.338378, -50.394007)
(-22.50022, -48.710229)
(-20.8071616, -49.9648439)
(-20.1454034, -50.193911)
(-20.6444651, -50.2260983)
(-23.5401247, -47.1846323)
(-23.3186111, -46.5866667)
(-23.0059018, -49.317191)
(-22.1069936, -51.9629504)
(-22.6112679, -50.6670685)
(-21.2574769, -49.1314719)
(-21.7966708, -51.1831475)
(-22.217108, -49.95006)
(-20.4408333, -50.8227778)
(-22.146153, -51.170949)
(-21.6033611, -48.3660603)
(-23.6669527, -46.4616922)
(-21.1838813, -49.579059)
(-20.3547223, -50.172574)
(-19.9662274, -50.6190438)
(-20.179612, -48.030997)
(-22.4133188, -48.450554)
(-19.9806298, -50.136873)
(-24.2839078, -47.4535128)
(-21.1328313, -51.1029422)
(-22.2925861, -51.907143)
(-20.8141411, -49.507449)
(-20.6147204, -49.462817)
(-21.464731, -47.002405)
(-23.5234284, -46.1926671)
(-22.372222, -46.9425)
(-22.433009, -46.9581629)
(-22.9293093, -47.5650724)
(-20.850949, -50.097537)
(-24.0959454, -46.6234361)
(-22.681861, -46.6798783)
(-21.265545, -48.497066)
(-20.7625702, -49.7088402)
(-20.90649, -48.638717)
(-21.3006353, -51.5686963)
(-22.945043, -47.312182)
(-22.9553542, -45.8387146)
(-20.7276692, -48.052795)
(-22.88, -46.79167)
(-21.5095864, -48.1503832)
(-20.9913722, -51.2782237)
(-22.6191472, -51.2382255)
(-22.4080573, -51.5251755)
(-23.3783786, -45.4438173)
(-23.1819309, -46.3992986)
(-20.842992, -49.635767)
(-20.6943324, -50.0406028)
(-20.9126469, -49.7791476)
(-21.0163728, -49.4981128)
(-24.1225305, -48.9054041)
(-20.3872473, -50.9481571)
(-20.7638386, -50.3427479)
(-21.7808203, -48.5661712)
(-20.5345426, -49.3186951)
(-21.3330061, -51.6465874)
